Model Name: TRecNet+ttbar 
Model ID: TRecNet+ttbar_6jets_20230525_214703 

 ---------------------------------------------------  
Training Data File: /mnt/xrootdg/jchishol/mntuples_08_01_22/variables_ttbar_ljets_10j_train.h5 
X Maxmean File: /mnt/xrootdg/jchishol/mntuples_08_01_22/X_maxmean_variables_ttbar_ljets_10j_train.npy 
Y Maxmean File: /mnt/xrootdg/jchishol/mntuples_08_01_22/Y_maxmean_variables_ttbar_ljets_10j_train.npy 

 ---------------------------------------------------  
X Keys: j1_pt, j1_eta, j1_phi, j1_m, j1_isbtag, j2_pt, j2_eta, j2_phi, j2_m, j2_isbtag, j3_pt, j3_eta, j3_phi, j3_m, j3_isbtag, j4_pt, j4_eta, j4_phi, j4_m, j4_isbtag, j5_pt, j5_eta, j5_phi, j5_m, j5_isbtag, j6_pt, j6_eta, j6_phi, j6_m, j6_isbtag, lep_pt, lep_eta, lep_phi, met_met, met_phi
X Scaled Keys: j1_pt, j1_px, j1_py, j1_eta, j1_m, j1_isbtag, j2_pt, j2_px, j2_py, j2_eta, j2_m, j2_isbtag, j3_pt, j3_px, j3_py, j3_eta, j3_m, j3_isbtag, j4_pt, j4_px, j4_py, j4_eta, j4_m, j4_isbtag, j5_pt, j5_px, j5_py, j5_eta, j5_m, j5_isbtag, j6_pt, j6_px, j6_py, j6_eta, j6_m, j6_isbtag, lep_pt, lep_px, lep_py, lep_eta, met_met, met_phi-sin, met_phi-cos
Y Keys: th_pt, th_eta, th_phi, th_m, wh_pt, wh_eta, wh_phi, wh_m, tl_pt, tl_eta, tl_phi, tl_m, wl_pt, wl_eta, wl_phi, wl_m, ttbar_pt, ttbar_eta, ttbar_phi, ttbar_m
Y Scaled Keys: th_pt, th_px, th_py, th_eta, th_m, wh_pt, wh_px, wh_py, wh_eta, wh_m, tl_pt, tl_px, tl_py, tl_eta, tl_m, wl_pt, wl_px, wl_py, wl_eta, wl_m, ttbar_pt, ttbar_px, ttbar_py, ttbar_eta, ttbar_m

 ---------------------------------------------------  
Learning Rate: Polynomial Decay with initial_lr=0.001, final_lr=5e-05, decay_step=10000, and power=0.25 
Batch Size: 1000 
Max Number of Epochs: 256 
Number of Epochs Used: 256 
Patience: 8 
Training Time: 00:10:21:33 
Training History: 
     loss      mse  val_loss  val_mse
0.021736 0.001569  0.020727 0.001481
0.020635 0.001472  0.020621 0.001473
0.020531 0.001464  0.020524 0.001467
0.020449 0.001457  0.020451 0.001460
0.020380 0.001452  0.020390 0.001457
0.020320 0.001447  0.020342 0.001453
0.020267 0.001443  0.020294 0.001448
0.020220 0.001439  0.020253 0.001445
0.020178 0.001435  0.020227 0.001443
0.020139 0.001432  0.020179 0.001440
0.020103 0.001429  0.020152 0.001437
0.020070 0.001427  0.020120 0.001436
0.020039 0.001424  0.020095 0.001433
0.020010 0.001422  0.020071 0.001433
0.019983 0.001420  0.020050 0.001431
0.019957 0.001417  0.020020 0.001428
0.019932 0.001415  0.019999 0.001425
0.019908 0.001413  0.019977 0.001428
0.019885 0.001412  0.019957 0.001426
0.019864 0.001410  0.019949 0.001423
0.019843 0.001408  0.019922 0.001420
0.019823 0.001407  0.019908 0.001421
0.019804 0.001405  0.019888 0.001418
0.019786 0.001404  0.019875 0.001418
0.019769 0.001402  0.019857 0.001418
0.019752 0.001401  0.019841 0.001415
0.019736 0.001400  0.019833 0.001414
0.019718 0.001398  0.019815 0.001413
0.019702 0.001397  0.019809 0.001414
0.019686 0.001396  0.019782 0.001412
0.019671 0.001395  0.019779 0.001411
0.019657 0.001393  0.019779 0.001411
0.019643 0.001392  0.019754 0.001408
0.019629 0.001391  0.019737 0.001409
0.019616 0.001390  0.019736 0.001408
0.019603 0.001389  0.019709 0.001407
0.019590 0.001388  0.019705 0.001404
0.019578 0.001387  0.019690 0.001407
0.019566 0.001386  0.019689 0.001405
0.019554 0.001385  0.019687 0.001405
0.019543 0.001384  0.019667 0.001403
0.019532 0.001383  0.019654 0.001403
0.019522 0.001383  0.019647 0.001403
0.019510 0.001382  0.019649 0.001404
0.019500 0.001381  0.019634 0.001401
0.019490 0.001380  0.019619 0.001401
0.019480 0.001379  0.019612 0.001402
0.019470 0.001378  0.019607 0.001400
0.019459 0.001378  0.019603 0.001400
0.019450 0.001377  0.019587 0.001399
0.019440 0.001376  0.019582 0.001399
0.019431 0.001375  0.019566 0.001400
0.019422 0.001375  0.019564 0.001397
0.019413 0.001374  0.019567 0.001397
0.019405 0.001373  0.019543 0.001398
0.019396 0.001372  0.019542 0.001396
0.019388 0.001372  0.019528 0.001395
0.019380 0.001371  0.019533 0.001395
0.019372 0.001371  0.019522 0.001395
0.019364 0.001370  0.019519 0.001393
0.019356 0.001369  0.019509 0.001393
0.019349 0.001369  0.019506 0.001395
0.019341 0.001368  0.019507 0.001393
0.019334 0.001367  0.019491 0.001392
0.019327 0.001367  0.019488 0.001394
0.019319 0.001366  0.019481 0.001392
0.019313 0.001366  0.019472 0.001392
0.019306 0.001365  0.019465 0.001392
0.019299 0.001364  0.019457 0.001391
0.019293 0.001364  0.019460 0.001389
0.019286 0.001363  0.019452 0.001389
0.019279 0.001363  0.019444 0.001390
0.019273 0.001362  0.019443 0.001389
0.019267 0.001362  0.019448 0.001389
0.019261 0.001361  0.019435 0.001388
0.019255 0.001361  0.019431 0.001389
0.019249 0.001360  0.019423 0.001388
0.019244 0.001360  0.019427 0.001388
0.019238 0.001359  0.019428 0.001391
0.019232 0.001359  0.019413 0.001386
0.019227 0.001358  0.019410 0.001388
0.019221 0.001358  0.019405 0.001386
0.019216 0.001358  0.019408 0.001387
0.019211 0.001357  0.019393 0.001387
0.019206 0.001357  0.019394 0.001386
0.019201 0.001356  0.019396 0.001385
0.019196 0.001356  0.019384 0.001387
0.019191 0.001355  0.019383 0.001386
0.019187 0.001355  0.019374 0.001385
0.019182 0.001354  0.019376 0.001385
0.019177 0.001354  0.019389 0.001384
0.019172 0.001354  0.019367 0.001384
0.019168 0.001353  0.019374 0.001386
0.019163 0.001353  0.019361 0.001385
0.019159 0.001353  0.019353 0.001384
0.019154 0.001352  0.019348 0.001382
0.019151 0.001352  0.019345 0.001382
0.019146 0.001351  0.019352 0.001384
0.019142 0.001351  0.019353 0.001384
0.019138 0.001351  0.019347 0.001384
0.019134 0.001350  0.019344 0.001386
0.019130 0.001350  0.019336 0.001384
0.019126 0.001350  0.019342 0.001383
0.019122 0.001349  0.019350 0.001382
0.019118 0.001349  0.019331 0.001382
0.019115 0.001349  0.019332 0.001383
0.019111 0.001348  0.019319 0.001382
0.019107 0.001348  0.019320 0.001383
