Model Name: TRecNet 
Model ID: TRecNet_6jets_20230525_111504 

 ---------------------------------------------------  
Training Data File: /mnt/xrootdg/jchishol/mntuples_08_01_22/variables_ttbar_ljets_10j_train.h5 
X Maxmean File: /mnt/xrootdg/jchishol/mntuples_08_01_22/X_maxmean_variables_ttbar_ljets_10j_train.npy 
Y Maxmean File: /mnt/xrootdg/jchishol/mntuples_08_01_22/Y_maxmean_variables_ttbar_ljets_10j_train.npy 

 ---------------------------------------------------  
X Keys: j1_pt, j1_eta, j1_phi, j1_m, j1_isbtag, j2_pt, j2_eta, j2_phi, j2_m, j2_isbtag, j3_pt, j3_eta, j3_phi, j3_m, j3_isbtag, j4_pt, j4_eta, j4_phi, j4_m, j4_isbtag, j5_pt, j5_eta, j5_phi, j5_m, j5_isbtag, j6_pt, j6_eta, j6_phi, j6_m, j6_isbtag, lep_pt, lep_eta, lep_phi, met_met, met_phi
X Scaled Keys: j1_pt, j1_px, j1_py, j1_eta, j1_m, j1_isbtag, j2_pt, j2_px, j2_py, j2_eta, j2_m, j2_isbtag, j3_pt, j3_px, j3_py, j3_eta, j3_m, j3_isbtag, j4_pt, j4_px, j4_py, j4_eta, j4_m, j4_isbtag, j5_pt, j5_px, j5_py, j5_eta, j5_m, j5_isbtag, j6_pt, j6_px, j6_py, j6_eta, j6_m, j6_isbtag, lep_pt, lep_px, lep_py, lep_eta, met_met, met_phi-sin, met_phi-cos
Y Keys: th_pt, th_eta, th_phi, th_m, wh_pt, wh_eta, wh_phi, wh_m, tl_pt, tl_eta, tl_phi, tl_m, wl_pt, wl_eta, wl_phi, wl_m
Y Scaled Keys: th_pt, th_px, th_py, th_eta, th_m, wh_pt, wh_px, wh_py, wh_eta, wh_m, tl_pt, tl_px, tl_py, tl_eta, tl_m, wl_pt, wl_px, wl_py, wl_eta, wl_m

 ---------------------------------------------------  
Learning Rate: Polynomial Decay with initial_lr=0.001, final_lr=5e-05, decay_step=10000, and power=0.25 
Batch Size: 1000 
Max Number of Epochs: 256 
Number of Epochs Used: 249 
Patience: 8 
Training Time: 00:09:58:59
Training History: 
     loss      mse  val_loss  val_mse
0.021107 0.001488  0.020080 0.001402
0.020004 0.001398  0.019963 0.001394
0.019902 0.001390  0.019878 0.001389
0.019824 0.001384  0.019812 0.001385
0.019758 0.001380  0.019757 0.001381
0.019701 0.001375  0.019711 0.001375
0.019650 0.001371  0.019669 0.001375
0.019604 0.001368  0.019628 0.001373
0.019562 0.001364  0.019601 0.001370
0.019524 0.001361  0.019555 0.001366
0.019490 0.001359  0.019532 0.001364
0.019457 0.001356  0.019498 0.001363
0.019427 0.001354  0.019479 0.001361
0.019399 0.001352  0.019448 0.001359
0.019373 0.001349  0.019425 0.001356
0.019347 0.001347  0.019405 0.001354
0.019324 0.001345  0.019385 0.001353
0.019301 0.001344  0.019365 0.001352
0.019279 0.001342  0.019360 0.001350
0.019258 0.001340  0.019336 0.001351
0.019238 0.001339  0.019318 0.001349
0.019218 0.001337  0.019295 0.001350
0.019200 0.001336  0.019281 0.001347
0.019182 0.001334  0.019269 0.001345
0.019165 0.001333  0.019264 0.001349
0.019148 0.001332  0.019239 0.001345
0.019132 0.001330  0.019221 0.001343
0.019117 0.001329  0.019207 0.001343
0.019102 0.001328  0.019201 0.001344
0.019088 0.001327  0.019185 0.001342
0.019074 0.001326  0.019173 0.001341
0.019060 0.001325  0.019166 0.001342
0.019047 0.001324  0.019160 0.001339
0.019034 0.001323  0.019138 0.001337
0.019021 0.001322  0.019135 0.001339
0.019008 0.001321  0.019119 0.001337
0.018996 0.001319  0.019111 0.001338
0.018983 0.001318  0.019106 0.001335
0.018972 0.001318  0.019103 0.001335
0.018960 0.001317  0.019088 0.001335
0.018949 0.001316  0.019074 0.001335
0.018937 0.001315  0.019067 0.001336
0.018926 0.001314  0.019057 0.001335
0.018915 0.001313  0.019058 0.001332
0.018905 0.001312  0.019044 0.001333
0.018894 0.001311  0.019028 0.001332
0.018884 0.001310  0.019018 0.001330
0.018874 0.001310  0.019012 0.001331
0.018865 0.001309  0.019008 0.001331
0.018855 0.001308  0.018997 0.001328
0.018846 0.001307  0.019000 0.001328
0.018837 0.001307  0.018980 0.001330
0.018828 0.001306  0.018974 0.001327
0.018819 0.001305  0.018966 0.001327
0.018811 0.001304  0.018963 0.001329
