variable,parton,observable,mae_mean_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,mae_std_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,mse_mean_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,mse_std_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,n_folds_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,n_events_total_TRecNet_ttbb_v5_b1b2+ttbar_10jets_20251128_203433,mae_mean_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,mae_std_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,mse_mean_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,mse_std_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,n_folds_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,n_events_total_TRecNet_ttbb_v5x1_b1b2+ttbar_10jets_20251129_074659,delta_mae_mean,delta_mse_mean
b1_eta,b1,eta,0.3692407055114556,0.0009747676013548601,0.5052261167254362,0.0019787117054638984,8,16654052,0.3733316256065635,0.0021769465782007042,0.4783301581788486,0.0028528932244631013,8,16654052,0.004090920095107919,-0.02689595854658755
b1_m,b1,m,17.896082150539087,0.12429907900153508,8029.480183631169,35.95679230819814,8,16654052,17.717461410767733,0.053733002231441535,8032.088652785211,33.23654133724427,8,16654052,-0.17862073977135395,2.6084691540418135
b1_pt,b1,pt,21073.60405980447,28.213108651120297,1121158072.474702,2544227.5443227617,8,16654052,21343.38933225692,49.58375433586252,1115501105.6808739,5181547.00258545,8,16654052,269.78527245244914,-5656966.793828011
b2_eta,b2,eta,0.7293421546292495,0.0057055412810897745,4.402951589855828,1.1224164932759153,8,16654052,0.7297138559710755,0.007198514346013297,4.3587653847754275,1.1237805020516953,8,16654052,0.0003717013418260695,-0.0441862050804005
b2_m,b2,m,19.51652617314317,0.15249348332805024,8798.3813911385,29.821190128989567,8,16654052,19.274941608006003,0.039375104671125635,8797.941989447128,29.51215559846816,8,16654052,-0.24158456513716686,-0.43940169137204066
b2_pt,b2,pt,16025.106543601134,21.071503178852875,568085421.8664479,1893031.3096043412,8,16654052,16062.225705053504,24.91089552010965,562255293.5174391,1277141.180613653,8,16654052,37.11916145237046,-5830128.349008799
th_eta,th,eta,0.5454187383381448,0.0006980597559159117,0.820744916201437,0.0013411080322100993,8,16654052,0.5122044049796586,0.0009203714160578517,0.7858514615893615,0.0024491661697216734,8,16654052,-0.033214333358486225,-0.03489345461207549
th_m,th,m,1337.914668395397,1.6399166373360332,5620631.960280668,12314.990810086176,8,16654052,1335.195884504651,1.205490301549384,5615507.260690523,10407.108004643413,8,16654052,-2.7187838907459536,-5124.699590144679
th_pt,th,pt,42878.18325638244,55.417620538678435,3827066445.3298354,15277083.39586804,8,16654052,40270.13895933142,94.84125475733578,3522895168.355727,17348979.847919516,8,16654052,-2608.0442970510194,-304171276.9741082
tl_eta,tl,eta,0.41572677621756615,0.0009475266499210577,0.38080852262285814,0.0009148300355057161,8,16654052,0.41539817679954605,0.0006545937618870927,0.3792629921364987,0.0010853842884086442,8,16654052,-0.0003285994180201035,-0.0015455304863594144
tl_m,tl,m,1339.4657198568868,1.5119647783852337,5645171.212868984,5005.475084615615,8,16654052,1337.9782102218562,1.10765111814592,5644532.22273336,6512.912085321168,8,16654052,-1.4875096350306194,-638.9901356240734
tl_pt,tl,pt,34922.52864134507,69.30318864722615,2312261832.240146,8121050.4283285355,8,16654052,35943.497678525746,56.53693768900305,2445053985.909734,8743556.387236511,8,16654052,1020.9690371806792,132792153.66958761
ttbar_eta,ttbar,eta,0.6944141436095996,0.0007014081357583165,0.9752002951295489,0.0014608444206772272,8,16654052,0.671881631039704,0.0008888132386536188,0.9375944585886278,0.0015342077693126178,8,16654052,-0.022532512569895635,-0.03760583654092109
ttbar_m,ttbar,m,76906.6015810504,165.71626770372134,14682220425.223663,70635932.72416835,8,16654052,72694.71355470023,131.24034360555282,13748694037.844898,60709841.39227675,8,16654052,-4211.888026350178,-933526387.3787651
ttbar_pt,ttbar,pt,44303.73851524542,77.32109295231207,4036149492.7373247,17537154.745509367,8,16654052,42825.77237608416,71.97207326138415,3851964511.8499546,11135477.277204957,8,16654052,-1477.9661391612608,-184184980.8873701
wh_eta,wh,eta,0.5879691771530509,0.0033282861273927194,1.0720726695430516,0.23996201095487815,8,16654052,0.5532871604061662,0.0032008092425515893,1.0316003424825582,0.2386552923845303,8,16654052,-0.03468201674688465,-0.04047232706049342
wh_m,wh,m,2061.3943066976626,5.188468509739551,13131920.908740528,28400.018358310877,8,16654052,2048.9661967430698,0.9167154863743566,13093202.68973975,15068.628414581774,8,16654052,-12.428109954592856,-38718.21900077723
wh_pt,wh,pt,32515.81164260019,53.25625222237093,2430102313.5890403,10520057.473109212,8,16654052,30695.681000988658,119.15163548861626,2241833566.914815,9980420.299928756,8,16654052,-1820.130641611533,-188268746.67422533
wl_eta,wl,eta,0.38945063126610313,0.0005332066136302895,0.29778387544484297,0.0007656026600805057,8,16654052,0.3936630420137977,0.00040239886436125737,0.2971598738688982,0.0006128111430941716,8,16654052,0.004212410747694573,-0.000624001575944777
wl_m,wl,m,2053.7118387670635,3.0317493076988615,13114458.795692299,22779.06086077104,8,16654052,2049.4448509014537,1.6077128369331295,13108567.812403722,22882.887675307375,8,16654052,-4.266987865609735,-5890.983288576826
wl_pt,wl,pt,21378.214243281123,26.242428534446354,855883741.8816748,2918027.711692831,8,16654052,23093.378583037207,72.04192061715024,1006974439.3682482,5928467.163339637,8,16654052,1715.1643397560838,151090697.48657346
