Model Name: JetPretrainer 
Model ID: JetPretrainer_6jets_20230530_112415 

 ---------------------------------------------------  
Training Data File: /mnt/xrootdg/jchishol/mntuples_08_01_22/variables_ttbar_ljets_10j_train.h5 
X Maxmean File: /mnt/xrootdg/jchishol/mntuples_08_01_22/X_maxmean_variables_ttbar_ljets_10j_train.npy 
Y Maxmean File: /mnt/xrootdg/jchishol/mntuples_08_01_22/Y_maxmean_variables_ttbar_ljets_10j_train.npy 

 ---------------------------------------------------  
X Keys: j1_pt, j1_eta, j1_phi, j1_m, j1_isbtag, j2_pt, j2_eta, j2_phi, j2_m, j2_isbtag, j3_pt, j3_eta, j3_phi, j3_m, j3_isbtag, j4_pt, j4_eta, j4_phi, j4_m, j4_isbtag, j5_pt, j5_eta, j5_phi, j5_m, j5_isbtag, j6_pt, j6_eta, j6_phi, j6_m, j6_isbtag, lep_pt, lep_eta, lep_phi, met_met, met_phi
X Scaled Keys: j1_pt, j1_px, j1_py, j1_eta, j1_m, j1_isbtag, j2_pt, j2_px, j2_py, j2_eta, j2_m, j2_isbtag, j3_pt, j3_px, j3_py, j3_eta, j3_m, j3_isbtag, j4_pt, j4_px, j4_py, j4_eta, j4_m, j4_isbtag, j5_pt, j5_px, j5_py, j5_eta, j5_m, j5_isbtag, j6_pt, j6_px, j6_py, j6_eta, j6_m, j6_isbtag, lep_pt, lep_px, lep_py, lep_eta, met_met, met_phi-sin, met_phi-cos
Y Keys: j1_isTruth, j2_isTruth, j3_isTruth, j4_isTruth, j5_isTruth, j6_isTruth
Y Scaled Keys: j1_isTruth, j2_isTruth, j3_isTruth, j4_isTruth, j5_isTruth, j6_isTruth

 ---------------------------------------------------  
Learning Rate: Polynomial Decay with initial_lr=0.01, final_lr=0.0005, decay_step=10000, and power=0.25 
Batch Size: 1000 
Max Number of Epochs: 256 
Number of Epochs Used: 119 
Patience: 8 
Training Time: 00:03:09:44 
Training History: 
     loss      mae      mse  val_loss  val_mae  val_mse
0.281504 0.177602 0.088790  0.269428 0.169704 0.084478
0.267685 0.168108 0.083858  0.266415 0.167502 0.083429
0.264970 0.166227 0.082913  0.264047 0.165100 0.082586
0.262697 0.164613 0.082113  0.262081 0.163570 0.081884
0.260950 0.163366 0.081498  0.260542 0.162103 0.081356
0.259465 0.162301 0.080975  0.259099 0.161912 0.080851
0.258160 0.161367 0.080517  0.258090 0.162116 0.080485
0.257036 0.160553 0.080124  0.256894 0.161081 0.080073
0.256047 0.159842 0.079774  0.255972 0.159853 0.079739
0.255260 0.159285 0.079498  0.255446 0.159878 0.079559
0.254596 0.158800 0.079266  0.254710 0.159006 0.079301
0.254021 0.158390 0.079066  0.254123 0.158611 0.079095
0.253524 0.158033 0.078891  0.253751 0.158144 0.078960
0.253067 0.157700 0.078729  0.253277 0.158074 0.078800
0.252633 0.157379 0.078576  0.252839 0.157020 0.078641
0.252243 0.157102 0.078438  0.252594 0.156779 0.078555
0.251895 0.156850 0.078316  0.252027 0.156201 0.078364
0.251582 0.156619 0.078208  0.251937 0.156080 0.078325
0.251305 0.156425 0.078109  0.251659 0.157429 0.078238
0.251045 0.156233 0.078019  0.251451 0.155618 0.078163
0.250803 0.156058 0.077933  0.251041 0.155977 0.078017
0.250543 0.155874 0.077841  0.251063 0.155709 0.078026
0.250304 0.155695 0.077756  0.250778 0.155403 0.077900
0.250073 0.155529 0.077674  0.250477 0.156481 0.077842
0.249837 0.155365 0.077591  0.249958 0.155346 0.077629
0.249585 0.155177 0.077499  0.249880 0.155122 0.077591
0.249342 0.154995 0.077411  0.249582 0.154729 0.077498
0.249110 0.154834 0.077328  0.249384 0.155046 0.077418
0.248861 0.154646 0.077236  0.249115 0.154405 0.077312
0.248576 0.154440 0.077131  0.248747 0.154494 0.077191
0.248196 0.154153 0.076988  0.248626 0.154448 0.077109
0.247858 0.153916 0.076861  0.247938 0.153937 0.076901
0.247608 0.153736 0.076772  0.248225 0.153930 0.077002
0.247396 0.153589 0.076697  0.247678 0.152800 0.076781
0.247226 0.153462 0.076637  0.247464 0.153383 0.076714
